,HCC1954_BrM2b_1,HCC1954_BrM2b_2,HCC1954_Parental_1,HCC1954_Parental_2,HCC1954_Parental_3
A1BG,143.9011248,132.2611565,124.3731502,120.4111265,109.3360323
A1BG-AS1,15.86311612,15.62139643,14.2412004,11.35954023,16.31881079
A1CF,6.798478335,8.331411431,5.69648016,4.543816093,4.895643237
A2M,0,1.041426429,0.94941336,1.135954023,0
A2M-AS1,4.53231889,5.207132144,4.7470668,4.543816093,4.895643237
A2ML1,146.1672842,143.7168472,259.1898473,253.3177472,271.7081996
A2MP1,0,0,0,0,0
A3GALT2,1.133079723,1.041426429,3.79765344,5.679770117,4.079702697
A4GALT,248.1444592,280.1437094,339.8899829,371.4569656,333.7196806
A4GNT,1.133079723,0,0,0,0
AA06,0,0,0,0,0
AAAS,1402.752696,1489.239793,1507.668416,1543.761518,1433.607528
AACS,1831.056832,1671.489418,2735.25989,2678.579587,2522.072207
AACSP1,0,0,0,1.135954023,0
AADAC,3.399239168,2.082852858,0,0,0.815940539
AADACL2,0,0,0,0,0
AADACL2-AS1,0,1.041426429,0.94941336,1.135954023,1.631881079
AADACL3,1.133079723,1.041426429,0.94941336,0,0
AADACL4,0,0,0,1.135954023,0
AADACP1,0,6.248558573,1.89882672,0,0.815940539
AADAT,130.3041681,141.6339943,125.3225635,118.1392184,112.5997944
AAED1,316.1292426,337.4221629,274.380461,282.8525518,297.0023564
AAGAB,3463.824712,3171.143476,2491.260657,2535.44938,2655.070515
AAK1,3181.687861,2889.95834,3674.229703,3719.113472,3838.184298
AAMDC,396.5779029,395.742043,465.2125464,493.0040461,518.1222426
AAMP,4939.09451,4892.621363,4844.856376,4775.550714,4440.348416
AANAT,18.12927556,15.62139643,9.4941336,9.087632187,11.42316755
AAR2,1318.904797,1321.570138,895.2967985,853.1014715,794.7260854
AARD,112.1748925,106.2254957,36.07770768,38.62243679,38.34920535
AARS,12809.46626,16206.67809,12428.7703,12238.76865,11978.00712
AARS2,1717.748859,1678.779403,1415.57532,1355.19315,1336.510604
AARSD1,0,0,0,0,0
AASDH,632.2584852,616.5244459,603.8268969,588.4241841,648.6727289
AASDHPPT,1385.756501,1409.049958,1088.977124,1134.818069,1343.038128
AASS,226.6159445,273.8951508,74.05424208,63.61342531,69.35494585
AATF,4466.600266,4051.148808,3980.890218,3808.85384,3944.256568
AATK,39.65779029,42.69848358,33.2294676,30.67075863,29.37385942
AATK-AS1,1.133079723,3.124279287,3.79765344,4.543816093,4.895643237
ABAT,253.8098578,217.6581236,100.6378162,109.0515862,111.7838539
ABCA1,64.58554418,70.81699716,192.7309121,196.520046,215.4083024
ABCA10,11.33079723,13.53854358,14.2412004,15.90335633,8.975345934
ABCA11P,126.9049289,122.8883186,91.14368256,96.55609198,90.56939988
ABCA12,1031.102547,1228.883186,1127.903072,992.8238164,1045.219831
ABCA13,97.44485614,89.56267288,49.36949472,56.79770117,41.61296751
ABCA17P,21.52851473,37.49135144,12.34237368,12.49549426,17.13475133
ABCA2,2749.984487,2757.697184,3713.155651,3986.062668,3518.335606
ABCA3,307.0646048,287.4336944,227.8592064,215.8312644,196.64167
ABCA4,401.1102218,465.5176137,1944.398561,2069.708231,2085.544019
ABCA5,432.836454,523.8374937,343.6876363,372.5929197,405.5224481
ABCA6,0,0,0,0,0
ABCA7,1875.246941,2160.95984,3764.423972,4065.57945,3611.352828
ABCA8,0,0,0,0,0
ABCA9,33.99239168,41.65705715,27.53298744,26.12694254,24.47821618
ABCB1,3.399239168,1.041426429,0.94941336,0,0
ABCB10,1628.235561,1435.085619,1420.322387,1262.04492,1333.246841
ABCB11,96.31177641,113.5154807,172.7932315,196.520046,195.0097889
ABCB4,1.133079723,2.082852858,1.89882672,0,1.631881079
ABCB5,36.25855112,41.65705715,46.52125464,54.52579312,53.03613506
ABCB6,822.6158785,874.7982002,1744.072342,1744.82538,1610.666625
ABCB7,1087.756534,1073.710648,1005.428748,937.1620693,983.20835
ABCB8,1817.459875,1830.827662,2369.735746,2316.210254,2155.714905
ABCB9,535.9467088,438.4405265,600.9786569,605.4634944,563.8149128
ABCC1,3836.60794,3819.952141,3352.378574,3246.556599,3219.701369
ABCC10,2253.695568,2430.689285,2066.872885,2099.243035,1930.515316
ABCC11,9.06463778,13.53854358,9.4941336,5.679770117,5.711583776
ABCC12,0,0,0,0,0
ABCC13,7.931558058,3.124279287,3.79765344,10.22358621,0.815940539
ABCC2,412.441019,353.0435594,138.6143506,168.1211955,142.7895944
ABCC3,126.9049289,111.4326279,91.14368256,106.7796782,87.30563772
ABCC4,591.4676152,568.6188302,1285.505689,1299.531403,1325.903377
ABCC5,2355.672743,2259.895351,4066.337421,4067.851358,3933.649341
ABCC5-AS1,0,1.041426429,0,0,1.631881079
ABCC6,113.3079723,103.1012165,94.941336,115.8673104,93.0172215
ABCC6P1,0,0,0,0,0
ABCC6P2,0,0,0.94941336,0,0.815940539
ABCC8,0,1.041426429,0,0,0
ABCC9,627.7261663,692.5485752,638.0057779,630.454483,705.7885666
ABCD1,1519.459908,1540.269688,1821.924238,1914.082529,1741.217111
ABCD2,0,0,0,0,0
ABCD3,3743.695403,3521.062756,4598.958316,4376.830852,4667.179886
ABCD4,966.5170033,1016.432195,1060.494723,1064.38892,1001.974982
ABCE1,4911.900597,4238.605565,3757.778079,3495.33053,3980.973892
ABCF1,8442.577012,8229.351641,5922.44054,5713.848737,5573.689825
ABCF2,5209.900564,5012.385402,3505.234125,3334.025058,3441.637195
ABCF3,3975.976746,4024.071721,3921.077177,3560.079909,3541.997882
ABCG1,22.66159445,52.07132144,54.11656152,39.75839082,37.53326481
ABCG2,137.1026464,86.43839359,198.4273922,163.5773794,172.1634538
ABCG4,5.665398613,5.207132144,7.59530688,10.22358621,1.631881079
ABCG5,0,3.124279287,0,1.135954023,1.631881079
ABCG8,0,0,0.94941336,0,0
ABHD1,10.1977175,11.45569072,12.34237368,4.543816093,7.343464855
ABHD10,1152.342078,1029.970738,1021.568775,1004.183357,990.5518149
ABHD11,3015.125142,2981.603866,3182.433583,3017.093886,2854.975948
ABHD12,824.882038,945.6151974,1087.078297,1123.458529,967.7054798
ABHD12B,3.399239168,2.082852858,8.54472024,6.81572414,9.791286473
ABHD13,130.3041681,155.1725379,151.9061376,140.8582989,159.9243457
ABHD14A,14.73003639,15.62139643,18.03885384,11.35954023,10.60722701
ABHD14A-ACY1,0,0,0,0,0
ABHD14B,748.9656966,808.1469088,685.4764459,755.4094255,666.6234207
ABHD15,308.1976845,313.4693551,344.6370497,331.6985748,314.9530482
ABHD16A,2040.67658,2248.43966,2201.689582,2299.170943,2086.359959
ABHD16B,319.5284818,344.712148,291.4699015,276.0368277,247.2299835
ABHD17A,2672.935065,2475.470621,2853.93656,2780.815449,2433.134689
ABHD17B,1459.406683,1342.398667,1430.765933,1513.090759,1471.140793
ABHD17C,1614.638605,1582.968172,1455.450681,1447.205426,1412.393074
ABHD2,3615.657395,3339.854557,2742.855197,2680.851495,2695.867542
ABHD3,1657.695634,1577.76104,2114.343553,2217.382254,2216.910446
ABHD4,2934.676481,3054.503716,4102.415128,4063.307541,3883.876968
ABHD5,1011.840192,951.863756,933.2733329,949.6575635,924.4606312
ABHD6,155.231922,167.669655,176.590885,165.8492874,176.2431565
ABHD8,457.7642079,422.8191301,522.177348,561.1612875,491.1962048
ABI1,2940.34188,2897.248325,4169.823477,4145.096231,4248.602389
ABI2,933.6576914,1014.349342,1336.774011,1312.026897,1327.535258
ABI3,0,0,0,0,0
ABI3BP,9.06463778,3.124279287,24.68474736,31.80671265,35.90138374
ABL1,5126.052665,5476.861589,4575.222982,4498.377932,4408.526735
ABL2,2275.224083,2065.148608,1908.320854,1848.197196,2056.170159
ABLIM1,4182.197256,4073.018763,4621.744236,4550.631817,4682.682756
ABLIM2,112.1748925,82.27268788,114.8790166,113.5954023,94.64910258
ABLIM3,386.3801854,374.9135144,552.5585755,592.9680002,622.5626316
ABO,1.133079723,0,0.94941336,1.135954023,0.815940539
ABR,1806.129078,1783.963473,1834.266611,1800.487127,1742.848992
ABRA,6.798478335,8.331411431,4.7470668,2.271908047,9.791286473
ABRACL,2912.014887,2826.431328,3713.155651,3800.902162,3931.201519
ABT1,1635.03404,1460.079853,1237.085608,1224.558437,1177.402198
ABTB1,208.4866689,257.2323279,467.1113731,471.4209197,458.5585832
ABTB2,2018.014986,1794.377737,1423.170627,1362.008874,1294.081696
AC093375.1,31.72623223,29.15994001,41.77418784,38.62243679,53.03613506
ACAA1,1794.79828,1770.424929,2044.086964,1972.016185,1791.805425
ACAA2,405.6425407,426.9848358,365.5241436,332.8345288,331.271859
ACACA,6900.45551,6790.100316,9060.251694,8634.386531,9025.934247
ACACB,115.5741317,135.3854358,186.0850186,189.7043219,156.6605836
ACAD10,310.463844,343.6707215,557.3056423,583.880368,499.3556101
ACAD11,47.58934835,39.5742043,41.77418784,24.99098851,35.90138374
ACAD8,609.5968907,740.4541909,534.5197217,493.0040461,458.5585832
ACAD9,1684.889547,1696.483653,1745.021756,1673.260276,1628.617317
ACADL,0,0,0,0,0
ACADM,2211.771618,2068.272888,2744.754024,2678.579587,2825.602088
ACADS,16.99619584,16.66282286,28.4824008,40.89434484,32.63762158
ACADSB,520.0835926,569.6602566,460.4654796,482.7804599,468.3498696
ACADVL,13977.67146,14359.1876,15474.48835,15569.38584,14543.32418
ACAN,0,1.041426429,1.89882672,0,0
ACAP1,30.59315251,36.44992501,23.735334,28.39885058,19.58257295
ACAP2,3460.425473,3122.196434,4005.574966,3896.3223,4273.896546
ACAP3,1922.836289,1907.893218,1981.425682,1957.248782,1712.659192
ACAT1,1502.463712,1449.665589,1311.13985,1262.04492,1411.577133
ACAT2,1729.079657,1613.169538,1873.192559,1664.172644,1821.179284
ACBD3,3947.649753,3476.28142,4707.191439,4664.22722,4738.982653
ACBD4,292.3345684,354.0849858,379.765344,399.8558162,319.8486915
ACBD5,1687.155707,1495.488352,2286.187371,2285.539495,2340.933408
ACBD6,1720.015019,1735.01643,1257.972702,1281.356138,1280.210706
ACBD7,422.6387365,399.9077487,973.148694,1047.34961,1028.90102
ACCS,203.9543501,290.5579737,176.590885,237.4143909,186.034443
ACCSL,1.133079723,2.082852858,0.94941336,1.135954023,0.815940539
ACD,1632.76788,1733.975004,1136.447792,1114.370897,1030.532901
ACE,15.86311612,9.37283786,17.08944048,30.67075863,32.63762158
ACE2,676.4485943,736.2884852,897.1956252,883.7722302,914.6693447
ACER1,0,0,0,0,0
ACER2,95.17869669,92.68695217,203.174459,198.7919541,226.83147
